20 by merohedry,twinning by merohedry
20 in operation,twinning operation
20 operation,twinning operation
20th operator,twinning operator
a star,$\mathbf{a}$
actor Christ,Acta Cryst.
alpha fold three,AlphaFold3
alpha fold two,AlphaFold2
Anita Patterson,a native Patterson
Argand diagram,Argand diagram
b star,$\mathbf{b}$
be star,$\mathbf{b}$
biochrist library,biocryst library
bizarre systematic absences,non-space group absences 
blue ice,Blu-Ice
bravis lattice,Bravias lattice
Britian plot,Britton plot 
c star,$\mathbf{c}$
C2,$C2$
C222,$C222$ 
C222,$C222_{1}$
C2221,$C222_{1}$
cc one-half,$CC_{1/2}$ 
ccp4 cloud,CCP4 Cloud
ccp4 study weekend,CCP4 Study Weekend
check my metal,checkMyMetal
check my sequence,checkMySequence
christographer,crystallographer
christography,crystallography
cns,CNS
colab fold,ColabFold
create cctbx conda environment,conda create -n cctbx312 -c conda-forge cctbx-base python=3.12
create cctbx conda kernel,conda activate cctbx312 && python -m ipykernel install --user --name cctbx312 --display-name 'cctbx 3.12'
crims,CRIMS
Crystal Graphics symmetry,crystallographic symmetry
Crystal low graphic symmetry,crystallographic symmetry
define a twin law,the set of all the twin operations that do the same mapping
define epitaxy,the oriented crystal association of chemically heterogeneous phases
define non-merohedral twinning,only certain zones of reciprocal lattice points overlap
define twin operation,the operation mapping the orientations of two individuals of a twin and is a crystallographic operation about a direct lattice element
define twinning,the oriented association of two or more individual domains in the same crystalline phase
disarmography,crystallography
display electron density equation,$$\rho (xyz) = (1/V) \sum_{h} \sum_{k} \sum_{l} |F (hkl)| \exp [- 2 \pi i (hx + ky + lz)\ + i \alpha (hkl)]$$
electric graphics,molecular graphics
electric placement,molecular replacement
eln,ELN
epitaxial twinning,WRONG!! Misused term. Rewrite.
equation for quantum refinment in phenix,$$\mathrm{E}_{\text {ONIOM }}^{Q M / M M}=\mathrm{E}_{\text {QMlayer }}^{Q M}+\mathrm{E}_{\text {all }}^{M M}-\mathrm{E}_{\text {QMlayer }}^{M M}$$
equation gradient driven quantum refinment in phenix,$$\left(\nabla \mathbf{x}_i\right)_{\text {total }}=\mathrm{K} * \Omega_{\text {xray }} *\left(\nabla \mathbf{x}_i\right)_{\text {xray }}+\Omega_{\text {geom }} * \boldsymbol{\varpi}_i *\left(\nabla \mathbf{x}_i\right)_{\text {ONIOM }}$$
eval 15,Eval15
expand 3D ED,three-dimensional electron diffraction
expand 3DVA,3D variability analysis
expand aca,ACA the Structural Science Society
expand ADP,Atomic Displacement Paramters
expand afca,African Crystallographic Association
expand ALD,Associate Lab Director
expand als,Advanced Light Source
expand amf,Atomic Modulation Function
expand aps,Advanced Photon Source
expand aug-promol,point charges-augmented promolecule
expand besac,Basic Energy Sciences Advisory Committee
expand bnl,Brookhaven National Laboratory
expand caBLAM,C-alpha Based Low-resolution Annotation Methods
expand ccl,Chemical Component Library
expand ccn,Computational Crystallography Newsletter
expand ccp4,Collaborative Computational Project Number 4
expand cctbx,Computational Crystallography Toolbox
expand ceres,CryoEM re-refinement system
expand charmm,Chemistry at Harvard Molecular Mechanics
expand chess,Cornell High Energy Synchrotron Source
expand cif,Crystallographic Information File 
expand cmb,IUCr Commission on Biological Macromolecules
expand cmm,checkMyMetal
expand cns,Cold Neutron Source
expand CNS,Crystallography and NMR System
expand cns,Crystallography and NMR System
expand coot,Crystallographic Object-Oriented Toolkit
expand clpc,cross-linked protein crystal
expand crims,Crystallization Information Management System 
expand CRIMS,Crystallographic Information Management System
expand cryo-em,cryo-electron microscopy
expand csd,Cambridge Structural Database
expand csgid,Center for Structural Genomics of Infectious Diseases
expand csv,comma-separated values
expand dddwg,IUCr Diffraction Data Deposition Working Group
expand dft,Density Functional Theory
expand digs,Demodulation of Intensities by Grouping and Scaling
expand doi,Digital Object Identifier
expand DPI,Diffraction Precision Index
expand DSL,Diamond Light Source
expand eca,European Crystallographic Association
expand elBOW,electronic ligand Building
expand elmam2,Epxerimental Library of Multipolar Atom Model 2
expand elmo,Extremely Localized Molecular Oribitals
expand eln,Electronic Lab Notebook
expand EPMM,Exact Potential Multipole Moment
expand epmm,Exact Potential Multipole Moment
expand esrf,European Synchrotron Radiation Facility
expand fair,Findable Accessible Interoperable Re-usable
expand FEL,free-electron laser
expand FFT,Fast Fourier Transform
expand fiji,FIJI Is Just ImageJ
expand fxs,fluctuation X-ray scattering
expand gid,Generalized Invariom Database
expand har,Hirshfeld Atom Refinement
expand HETATM,hetero atom
expand HF,Hartree-Fock
expand htx,high-throughput crystallography
expand I3C,"5-amino-2,4,6-triiodoisophthalic acid"
expand iam,Independent Atom Model
expand ias,Interatomic Scatterers
expand ideal,Invariom Derived Electron AnaLysis
expand IRRMC,Integrated Resource for Reproducibility in Macromolecular Crystallography
expand irrmc,Integrated Resource for Reproducibility in Macromolecular Crystallography
expand ispyb,Information System for Protein crystallography Beamlines
expand iucr,International Union of Crystallography
expand jac,Journal of Applied Crystallography
expand jcsg,Joint Center for Structural Genomic
expand jsr,Journal of Synchrotron Radiation
expand KIE,kinetic isotopic effect
expand lcls,Linac Coherent Light Source
expand LCP,lipidic cubic phase
expand LCP-rMMS,lipidic cubic phase Random Microseed Matrix-Screening
expand lims,Laboratory Information Management System
expand llg,log likelihood gain
expand ltd,Lattice Translocation Deffects
expand mad,Multi-wavelength Anomalous Diffraction
expand matts,Multipolar Atom Types from Thoery and Statistical clustering databank
expand mcsg,Midwest Center for Structural Genomics
expand MEM,Maximum Entropy Method
expand MICS,mix-and-inject serial crystallography
expand mir,Multiple Isomorpous Replacement
expand mmCIF,macro-molecular crystallographic information file
expand MMS,Microseed Matrix-Screening
expand mndo,Modified Neglect of Diatomic Overlap
expand MolISSI,Molecular Sciences Software Institute
expand mopac,Molecular Orbital PACkage
expand mr,Molecular Replacement
expand mx,macromolecular crystallography
expand nakb,Nucleic Acid Knowledge Base
expand nbsr,National Bureau of Standards Reactor
expand nci,noncovalent interaction
expand ncnr,NIST Center for Neutron Research
expand ncs,noncrystallographic symmetry
expand ndb,Nucleic Acid Database
expand nist,National Institute of Standards and Technology
expand NoSpherA2,Non-spherical Atoms in Olex2
expand nsls2,National Synchtrotron Light Source II
expand nysgrc,New York Structural Genomics Research Consortium
expand od,Order-Disorder
expand ONIOM,\underline{O}ur own \underline{N}-layered \underline{I}ntegrated molecular \underline{O}rbital and molecular \underline{M}echanics 
expand oup,Oxford University Press
expand pae,Predicted Aligned Error
expand PDB,Protein Data Bank
expand pdb,Protein Data Bank
expand PDBe,Protein Data Bank in Europe
expand phenix,Python-based Hierarchical ENvironment for Integrated Xtallography
expand pims,Protein Information Management System
expand pli,protein-ligand interactions
expand qmf,quantum mechanical flipping
expand qmr,quantum mechanical refinement
expand qtaim,Quantum Theory of Atoms in Molecules
expand RCSB,Research Collaboratory in Structural Biology
expand reel,Restraint Editor Essentially Ligands
expand rMMS,Random Microseed Matrix-Screening
expand our MMS,Random Microseed Matrix-Screening
expand or MMS,Random Microseed Matrix-Screening 
expand our nms,Random Microseed Matrix-Screening 
expand our MMS,Random Microseed Matrix-Screening 
expand our and then s,Random Microseed Matrix-Screening 
expand our and then s,Random Microseed Matrix-Screening
expand rncs, rotational noncrystallographic symmetry
expand rod,Rotational Order-Disorder
expand rope,Representation of Protein Entities.
expand sack,Scientific Advisory Committee
expand SAD,single wavelength anomalous dispersion
expand sad,Single-wavelength Anomalous Diffraction
expand sapt,Symmetry-Adapted Perturbation Theory
expand sars-cov-2, severe acute respiratory syndrome coronavirus 2
expand sas,small-angle scattering
expand saxs,small-angle X-ray scattering
expand sbfa,Supramolecular Synthon Based Fragments Approach
expand sbgrid,Structural Biology Grid Consortium
expand scf,Self-Consistent Field
expand sgc,Structural Genomics Consortium
expand SHG,Second-harmonic generation
expand slac,SLAC National Accelerator Center
expand smiles,Simplified Molecular-Input Line-Entry System 
expand smis,Scientific Management Information System
expand soap,Simple Object Access Protocol
expand sql,Structured Query Language
expand ssgcid,Seattle Structural Genomics Center for Infectious Disease
expand ssrl sack,SSRL Scientific Advisory Committee
expand ssrl uec,SSRL Users Executive Committee
expand ssrl,Stanford Synchrotron Radiation Lightsource
expand swaxs,small-wide angle X-ary scattering
expand taam,Transferable Aspherical Atom Model
expand tls,Translation Libration and Screw
expand tncs,translational noncrystallographic symmetry
expand tr-SFX,time-resolved XFEL serial crystallography
expand tr-SSX,time-resolved synchrotron serial crystallography
expand tr-XES,time-resolved X-ray emission spectroscopy
expand TSC,tabulated scatter contribution
expand udbd,University of Buffalo Databank
expand vir,Database of real and virtual spherical-atom parameters
expand waxs,Wide-Angle X-ray Scattering
expand XES,X-ray emission spectroscopy
expand xfel,X-ray Free Electron Laser
expand xfels,X-ray Free Electron Lasers
expand xml,Extensible Markup Language
expand XRD,X-ray Diffraction
expand xss,X-ray Solution Scattering
inline for I over sigma,$I/{\sigma}$
inline for sigmaA 2fo minus fc,$2mF_{o} - DF_{c}$
inline for sigmaA fo minus fc,$mF_{o} - DF_{c}$
inline for standard partial regression coefficient,$P_i=a_i \sigma\left(x_i\right) / \sigma(y)$
inline for Stanley factor,$\left\langle I^2\right\rangle /\langle I\rangle^2$
inline for Stanley ratio,$\langle F\rangle^2 /\left\langle F^2\right\rangle$
inline for Wilson ratio,$\left\langle I^2\right\rangle /\langle I\rangle^2$
F222,$F222$
F4132,$F4_{1}32$
F432,$F432$
FLEV,Flatland Ligand Environment View
flexer,FLEXR
four one,$4_1$
four sub one,$4_1$
four sub three,$4_3$
four sub two,$4_2$
gemme,GEMMI
gemmi,GEMMI
H3,$H3$
H32,$H32$
hemihedral 20,hemihedral twinning
hemihedral twin,twinning by hemihedry
hemihedral twinning,twinning by hemihedry 
hendrickson-lattman coefficients,Hendrickson-Lattman coefficients
hkl 3000,HKL3000
How are twin laws derived,by coset decomposition of the point group of the twin with respect to the intersection group of the individuals in their respective orientations. All of the operations that belong to the same coset are equivalent and form a twin law. 
htx,HTX
inline I over sick,$I/{\sigma}$
I212121,$I2_{1}2_{1}2_{1}$ 
I222,$I222$ 
I4,$I4$
I41,$I4_{1}$
I4122,$I4_{1}22$
I4132,$I4_{1}32$
I422,$I422$
I432,$I432$
ice bear,IceBear
in commensurately,incommensurately
insert Bragg's equation,$$2 \mathrm{~d} \sin \theta=\mathrm{n} \lambda$$
insert equation for atomic scattering factor vector,$$\mathbf{f}_j=f_j \exp \left[2 \pi i \mathbf{r}_j \cdot \mathbf{S}\right]$$
insert equation for position vector,$$\mathbf{r}=\mathbf{a x}+\mathbf{b y}+\mathbf{c z}$$
insert equation for the structure factor with contributions from one molecule,$$\mathbf{F}_1(hkl) = \sum_j f_j \exp(2\pi\ i\ (hx_j+ky_j+lz_j)$$
insert equation for the structure factor,$$\mathbf{F}(\mathbf{S})=\sum_{j=1}^n f_j \exp \left[2 \pi i \mathbf{r}_j \cdot \mathbf{S}\right]$$
insert python create jupyter kernel,python -m ipykernel install --user --name cctbx312july24 --display-name 'cctbx312july2024'
insert space group number for C m,8
insert space group number for C c,9
insert space group number for C 2 over m,12
insert space group number for P 2 over c,13
insert space group number for P 2 1 over c,14
insert space group number for C 2 over c,15
insert space group number for P m m 2,25
insert space group number for P m c 2 1,26
insert space group number for P c c 2,27
insert space group number for P m a 2,28
insert space group number for P m a 2 1,29
insert space group number for P n c 2,30
insert space group number for P m n 2 1,31
insert space group number for P b a 2,32
insert space group number for P b a 2 1,33
insert space group number for P n n 2,34
insert space group number for C m m 2,35
insert space group number for C m c 2 1,36
insert space group number for C c c 2,37
insert space group number for A m m 2,38
insert space group number for A b m 2,39
insert space group number for A m a 2,40
insert space group number for A b a 2,41
insert space group number for F m m 2,42
insert space group number for F d d 2,43
insert space group number for C2,5
insert space group number for C222,21
insert space group number for C2221,20
insert space group number for F222,22
insert space group number for F23,196
insert space group number for F4132,210
insert space group number for F432,209
insert space group number for I 2 1 2 1 2 1,24
insert space group number for I213,199
insert space group number for I222,23
insert space group number for I23,197
insert space group number for I4,79
insert space group number for I 4 1,80
insert space group number for I 4 1 2 2,98
insert space group number for I 4 1 3 2,214
insert space group number for I 4 2 2,97
insert space group number for I 4 3 2,211
insert space group number for P bar 1,2
insert space group number for P c,7
insert space group number for P1,1
insert space group number for P2,3
insert space group number for P2 1,4
insert space group number for P 2 over m,10
insert space group number for P 21 over m,11
insert space group number for P21212,18
insert space group number for P212121,19
insert space group number for P213,198
insert space group number for P222,16
insert space group number for P2221,17
insert space group number for P23,195
insert space group number for P3,143
insert space group number for P31,144
insert space group number for P3112,151
insert space group number for P312,149
insert space group number for P3121,152
insert space group number for P32,145
insert space group number for P321,150
insert space group number for P3212,153
insert space group number for P3221,154
insert space group number for P4,75
insert space group number for P41,76
insert space group number for P41212,92
insert space group number for P4122,91
insert space group number for P4132,213
insert space group number for P42,77
insert space group number for P4212,90
insert space group number for P422,89
insert space group number for P42212,94
insert space group number for P4222,93
insert space group number for P4232,208
insert space group number for P43,78
insert space group number for P432,207
insert space group number for P43212,96
insert space group number for P4322,95
insert space group number for P4332,212
insert space group number for P6,168
insert space group number for P61,169
insert space group number for P6122,178
insert space group number for P622,177
insert space group number for P6222,180
insert space group number for P63,171
insert space group number for P63,173
insert space group number for P6322,182
insert space group number for P64,172
insert space group number for P6422,181
insert space group number for P65,170
insert space group number for P6522,179
insert space group number for Pm,6
insert space group number for R3,146
insert space group number for R32,155
insert url for space group tables,\url{http://img.chem.ucl.ac.uk/sgp/LARGE/sgp.htm}
international tables for crystallography,International Tables for Crystallography
international tables of crystallography,International Tables for Crystallography
isolde,ISOLDE
ispyb,ISPyB
iucrdata,IUCrData
iucrj,IUCrJ
jana 2006,Jana2006
latches translocation defects,Lattice-Translocation Defects
lattice-translocation defects,Lattice-Translocation Defects
lcls users' executive committee,LCL Users' Executive Committee
lcls,LCLS
lcls2,LCLS-II
lclsx,LCLS-X
Limited twinning,mimetic twinning
lims,LIMS
list the causes of twinning,(1) occurs during nucleation\n (2) post-growth nucleation and oriented attachment\n (3)a phase tranisiton\n (4) mechanical action\n
Lolly symmetry,Laue symmetry
Lowry Cemetery,Laue symmetry
Magnetic 20,mimetic twinning
Magnetic twin,mimetic twinning
Memetic 20,mimetic twinning
mero-hitriy,merohedry
merohedral 20, merohedral twinning
merohedral twin,twinning by merohedry 
merohedral twinning,twinning by merohedry
mighty chin,MiTeGen 
mitigen,MiTeGen
model craft,ModelCraft
more hen,Moorhen
mtz,MTZ
mx,MX
NCS operator,NCS operation 
non-merohedral 20,non-merohedral twinning
nucleic acid cartography,nucleic acid crystallography
olex2,Olex2
OLX too,Olex2
open 10th International Charge Density Meeting,<open:https://icdm10.netlify.app/>
open 750 words,<open:https://750words.com/>
open alpha fold database,<open:https://alphafold.com/>
open alpha fold protein structure database,<open:https://alphafold.com/>
open alpha fold server,<open:https://alphafoldserver.com/about>
open American PDB,<open:https://www.rcsb.org/>
open Art Robbins,<open:https://www.artrobbins.com/>
open atsas,<open:https://www.embl-hamburg.de/biosaxs/atsas-online/>
open bioxtas,<open:https://bioxtas-raw.readthedocs.io/en/latest/>
open ccp4 downloads page,<open:https://www.ccp4.ac.uk/download/#os=macos>
open cctbx documentation,<open:https://cctbx.github.io/>
open cctbx github site,<open:https://github.com/cctbx/cctbx_project>
open cctbx miller array documentation,<open:https://cctbx.github.io/cctbx/cctbx.miller.html>
open cctbx modules documentation,<open:https://cctbx.github.io/cctbx/cctbx.html>
open cctbx,<open:https://cctbx.github.io/>
open chimera,<open:https://www.rbvi.ucsf.edu/chimera/>
open chimerax,<open:https://www.cgl.ucsf.edu/chimerax/>
open COBRE in Structural Biology,<open:https://www.ou.edu/structuralbiology/>
open colab fold,<open:https://github.com/sokrypton/ColabFold>
open Computational Crystallography Toolbox documentation,<open:https://cctbx.github.io/>
open Computational Crystallography Toolbox github site,<open:https://github.com/cctbx/cctbx_project>
open Computational Crystallography Toolbox,<open:https://cctbx.github.io/>
open coot,<open:https://pemsley.github.io/coot/>
open crims,<open:https://alpx-services.com/#crims>
open Electron Microscopy Data Bank,<open:https://www.ebi.ac.uk/emdb/>
open EMD Data Resource,<open:https://emdataresource.org/>
open EMDB,<open:https://www.ebi.ac.uk/emdb/>
open European Protein Data Bank,<open:https://www.ebi.ac.uk/pdbe/>
open gatan,<open:https://www.gatan.com/>
open goals for 2024,<open:file:///Users/blaine/2024goals.html>
open goals for July 2024,<open:file:///Users/blaine/july2024goals.html>
open Hampton Research,<open:https://www.hamptonresearch.com/>
open ICDM10,<open:https://icdm10.netlify.app/>
open ice bear,<open:https://www.icebear.fi/>
open index 3,<open:file:///Users/blaine/Documents/WebpagesBlaine/index3.html>
open Integrated Resource for Reproducibility in Macromolecular Crystallography,<open:https://proteindiffraction.org/>
open IRRMC,<open:http://www.proteindiffraction.org>
open IRRMC,<open:https://proteindiffraction.org/>
open IUCr 2026,<open:https://www.iucr2026.org/>
open IUCr journals,<open:https//https://journals.iucr.org>
open Jana2006,<open:http://jana.fzu.cz/>
open Jana2020,<open:http://jana.fzu.cz/>
open Japanese Protein Data Bank,<open:https://pdbj.org/>
open LBSF,<open:https://research.ouhsc.edu/Core-Facilities/Laboratory-of-Biomolecular-Structure-and-Function>
open mighty chin,<open:https://www.mitegen.com/>
open mitigen,<open:https://www.mitegen.com/>
open mo probity,<open:http://molprobity.manchester.ac.uk/help/validation_options/validation_options.html>
open mol probity,<open:http://molprobity.manchester.ac.uk/help/validation_options/validation_options.html>
open mole probity,<open:http://molprobity.manchester.ac.uk/help/validation_options/validation_options.html>
open molprobity,<open:http://molprobity.manchester.ac.uk/help/validation_options/validation_options.html>
open moorhen,<open:moorhen.org>
open more probity,<open:http://molprobity.manchester.ac.uk/help/validation_options/validation_options.html>
Open more property,<open:http://molprobity.manchester.ac.uk/help/validation_options/validation_options.html>
open more property,<open:http://molprobity.manchester.ac.uk/help/validation_options/validation_options.html>
open my next beam time,<open:https://www-ssrl.slac.stanford.edu/protein_schedule.html#Jul292024>
Open my property,<open:http://molprobity.manchester.ac.uk/help/validation_options/validation_options.html> 
open NAKB,<open:https://www.nakb.org/>
open Nucleic Acid Knowledge base,<open:https://www.nakb.org/>
open olex 2 options,<open:https://github.com/pcxod/olex2/blob/master/options.txt>
open olex,<open:https://www.olexsys.org/olex2/>
open olex2,<open:https://www.olexsys.org/olex2/>
open olexsys,<open:https://www.olexsys.org/olex2/>
open PDB depoisition,<open:https://deposit-1.wwpdb.org/>
open PDB in Europe,<open:https://www.ebi.ac.uk/pdbe/>
open PDB in Japan,<open:https://pdbj.org/>
open PDB,<open:https://www.rcsb.org/>
open PDBe,<open:https://www.ebi.ac.uk/pdbe/>
open PDBj,<open:https://pdbj.org/>
open phenix documentation,<open:https://phenix-online.org/documentation/>
open phenix download,<open:https://phenix-online.org/phenix_request/index.cgi>
open phenix downloads page,<open:https://phenix-online.org/phenix_request/index.cgi>
open phenix,<open:https://phenix-online.org>
open phoenix download,<open:https://phenix-online.org/phenix_request/index.cgi>
open phoenix downloads page,<open:https://phenix-online.org/phenix_request/index.cgi>
open phoenix,<open:https://phenix-online.org>
open Protein Data Bank in Europe,<open:https://www.ebi.ac.uk/pdbe/>
open Protein Data Bank in Japan,<open:https://pdbj.org/>
open Protein Data Bank,<open:https://www.rcsb.org/>
open protein diffraction data bank,<open:https://proteindiffraction.org/>
open protein diffraction dot org,<open:https://proteindiffraction.org/>
open pymol download,<open:https://pymol.org/>
open RCSB PDB,<open:https://www.rcsb.org/>
open RCSB Protein Data Bank,<open:https://www.rcsb.org/>
open right honey,<open;https://app.writehoney.com/write>
open rock maker,<open:https://formulatrix.com/protein-crystallization-systems/rock-maker-crystallization-software/>
open RoPE,<open:rope.hginn.co.uk>
open rosettafold2 colab notebook,<open:https://colab.research.google.com/github/sokrypton/ColabFold/blob/main/RoseTTAFold2.ipynb>
open rosettafold2 notebook,<open:https://colab.research.google.com/github/sokrypton/ColabFold/blob/main/RoseTTAFold2.ipynb>
open rosettafold2,<open:https://colab.research.google.com/github/sokrypton/ColabFold/blob/main/RoseTTAFold2.ipynb>
open SASDBD,<open:https://www.sasbdb.org/>
open shelx documentation,<open:https://shelx.uni-goettingen.de/wikis.php>
open shelx downloads,<open:https://shelx.uni-goettingen.de/download.php>
open shelx homepage,<open:https://shelx.uni-goettingen.de/>
open shelx web page,<open:https://shelx.uni-goettingen.de/>
open shelx,<open:https://shelx.uni-goettingen.de/>
open sirware,<open:https://www.ba.ic.cnr.it/softwareic>
open Small Angle Scattering Biological Data Bank,<open:https://www.sasbdb.org/>
open SSRL beam line 4 2,<open:https://www-ssrl.slac.stanford.edu/smb-saxs/content/home>
open SSRL beamline schedule,<open:https://www-ssrl.slac.stanford.edu/protein_schedule.html>
open SSRL bio sacks beamline,<open:https://www-ssrl.slac.stanford.edu/smb-saxs/content/home>
open SSRL Biological Small Angle Scattering,<open:https://www-ssrl.slac.stanford.edu/smb-saxs/content/home>
open SSRL LCLS Users Meeting,<open:https://web.cvent.com/event/8c2bdf8d-08a1-41c5-b24e-390d039d9be2/summary>
open SSRL mx beamline schedule,<open:https://www-ssrl.slac.stanford.edu/protein_schedule.html>
open SSRL port schedule,<open:https://www-ssrl.slac.stanford.edu/protein_schedule.html>
open SSRL protein crystallography beamline schedule,<open:https://www-ssrl.slac.stanford.edu/protein_schedule.html>
open SSRL px beamline schedule,<open:https://www-ssrl.slac.stanford.edu/protein_schedule.html>
open SSRL px schedule,<open:https://www-ssrl.slac.stanford.edu/protein_schedule.html>
open SSRL SAC,<open:https://www-ssrl.slac.stanford.edu/content/about-ssrl/scientific-advisory-committee>
open SSRL schedule,<open:https://www-ssrl.slac.stanford.edu/protein_schedule.html>
open SSRL Scientific Advisory Committee,<open:https://www-ssrl.slac.stanford.edu/content/about-ssrl/scientific-advisory-committee>
open SSRL Small Angle Scattering,<open:https://www-ssrl.slac.stanford.edu/smb-saxs/content/home>
open SSRL UEC,<open:https://www-ssrl.slac.stanford.edu/ssrl/web/about/users-executive-committee#overview/>
open SSRL User Executive Committee,<open:https://www-ssrl.slac.stanford.edu/ssrl/web/about/users-executive-committee#overview/>
open SSRL User Portal,<open:https://userportal.slac.stanford.edu/userportal/>
open SSRL Users Meeting,<open:https://web.cvent.com/event/8c2bdf8d-08a1-41c5-b24e-390d039d9be2/summary>
open Stanford Guesthouse,<open:https://rde.stanford.edu/stanford-guest-house>
open stoe,<open:https://www.stoe.com/>
open tenth ICDM,<open:https://icdm10.netlify.app/> 
open the refinement package CRYSTALS,<open:https://www.xtl.ox.ac.uk/crystals/documentation.html>
open this year's goals,<open:file:///Users/blaine/2024goals.html>
open ucla anisotropy server,<open:https://srv.mbi.ucla.edu/Anisoscale/>
open ucla self-rotation funciton server,<open:https://services.mbi.ucla.edu/selfrot/>
open ucla server for nist*Lattice,<open:https://services.mbi.ucla.edu/nist/>
open ucla twinning server,<open:https://srv.mbi.ucla.edu/Twinning/>
open User Meeting,<open:https://web.cvent.com/event/8c2bdf8d-08a1-41c5-b24e-390d039d9be2/summary>
open worldwide PDB,<open:https://www.wwpdb.org/>
open worldwide Protein Data Bank,<open: https://www.wwpdb.org/>
open write honey,<open;https://app.writehoney.com/write>
open wwPDB OneDep System,<open:https://deposit-1.wwpdb.org/>
open wwPDB OneDep,<open:https://deposit-1.wwpdb.org/>
open wwPDB,<open:https://www.wwpdb.org/>
open zenodo,<open:https://zenodo.org/>
order disorder,Order-Disorder
P1,$P1$
P2,$P2$
P21,$P2_{1}$ 
P21212,$P2_{1}2_{1}2$ 
P212121,$P2_{1}2_{1}2_{1}$ 
P222,$P222$
P2221,$P222_{1}$ 
P3,$P3$
P31,$P3_{1}$
P3112,$P3_{1}12$
P312,$P312$
P3121,$P3_{1}21$
P32,$P3_{2}$
P321,$P321$
P3212,$P3_{2}12$
P3221,$P3_{2}21$
P4,$P4$
P41,$P4_{1}$
P41212,$P4_{1}2_{1}2$
P4122,$P4_{1}22$
P4132,$P4_{1}32$
P42,$P4_{2}$
P422,$P422$
P422,$P42_{1}2_{1}$
