20 by merohedry,twinning by merohedry
P42212,$P4_{2}2_{1}2$
P4222,$P4_{2}22$
P4232,$P4_{2}32$
P43,$P4_{3}$
P432,$P432$
P43212,$P4_{3}2_{1}2$
P4322,$P4_{3}22$
P4332,$P4_{3}32$
P6,$P6$
P61,$P6_{1}$
P6122,$P6_{1}22$
P62,$P6_{2}$
P6222,$P6_{2}22$
P63,$P6_{3}$
P6322,$P6_{3}22$
P64,$P6_{4}$
P6422,$P6_{4}22$
P65,$P6_{5}$
P6522,$P6_{5}22$
parent cemetery,apparent symmetry
partial 20,partial twinning
Perfect 20,perfect twinning
Phoenix Dot extraarch,phenix.xtriage
Phoenix extraage,phenix.xtriage
Phoenix,Phenix
pLDDT,predicted local difference distance test
point group 2,$2$
point group 222,$222$
point group 23,$23$
point group 32, $32$
point group 4,$4$
point group 422,$422$
point group 432,$432$
point group 6,$6$
point group 622,$622$
privateer,Privateer
pseudo-translational,pseudotranslational
pseudomeroheral 20,pseudomeroheral twinnig
R3,$R3$
R32,$R32$
raddose-3D,RADDOSE-3D
ref Mac,Refmac5
reticular 20,reticular twinning
reticular metal hatred,reticular merohedry
reticular metal hedry,reticular merohedry
rock maker,ROCK MAKER
rock maker,Rockmaker
rotational order-disorder,Rotational Order-Disorder
rough Mac,Refmac5
se star,$\mathbf{c}$
secretron radiation labs,synchrotron radiation labs
section A,Acta Cryst. Section A
section B,Acta Cryst. Section B
section C,Acta Cryst. Section C
section D,Acta Cryst. Section D
section E,Acta Cryst. Section E
section F,Acta Cryst. Section F
see 2,$C2$
see 2221,$C222_{1}$
shell XL,SHELXL
six sub five,$6_5$
six sub four,$6_4$
six sub one,$6_1$
six sub three,$6_3$
six sub two,$6_2$
ssrl lcls users meeting,SSRL/LCLS Users Meeting
ssrl scientific advisory committee,SSRL Scientific Advisory Committee
ssrl users' executive committee,SSRL Users' Executive Committee
super flip,SuperFlip
tetartohedral twin,twinning by tetartohedry 
tetartohedral twinning,twinning by tetartohedry 
The Mythic 20,mimetic twinning
The Mythic twinning,mimetic twinning
three sub one,$3_1$
three sub one,$3_2$
tritohedral twin,tritohedry twinning
tritohedral twinning,twinning by tritohedry twinning
twin operator,twin operation 
twinning operation,twin operation 
twinning operator,twinning operation
two sub one,$2_1$
url for atsas,\url{https://www.embl-hamburg.de/biosaxs/atsas-online/}
url for bioxtas,\url{https://bioxtas-raw.readthedocs.io/en/latest/}
url for coot,\curl{https://pemsley.github.io/coot/}
url for crims,\url{https://alpx-services.com/#crims}
url for ice bear,\url{https://www.icebear.fi/}
url for IRRMC,\url{http://www.proteindiffraction.org}
url for Jana2006,\url{http://jana.fzu.cz/}
url for Jana2020,\url{http://jana.fzu.cz/}
url for moorhen,\url{moorhen.org}
url for olex,\url{https://www.olexsys.org/olex2/}
url for phenix,\url{https://phenix-online.org}
url for rock maker,\url{https://formulatrix.com/protein-crystallization-systems/rock-maker-crystallization-software/}
url for RoPE,\url{rope.hginn.co.uk}
url for shelx,\url{https://shelx.uni-goettingen.de/}
url for sirware,\url{https://www.ba.ic.cnr.it/softwareic}
url for the refinement package CRYSTALS,\url{https://www.xtl.ox.ac.uk/crystals/documentation.html}
url for ucla anisotropy server,\url{https://srv.mbi.ucla.edu/Anisoscale/}
url for ucla self-rotation funciton server,\url{https://services.mbi.ucla.edu/selfrot/}
url for ucla server for nist*Lattice,\url{https://services.mbi.ucla.edu/nist/}
url for ucla twinning server,\url{https://srv.mbi.ucla.edu/Twinning/}
url for zenodo,\url{https://zenodo.org/}
value of Stanley factor for acentric data from perfect twin,1.5
value of Stanley factor for acentric data from untwinned crystal,2
value of Wilson ratio for acentric data from perfect twin,0.885
value of Wilson ratio for acentric data from untwinned crystal,0.785
vdW,van der Waals
What is a common feature of merohedral and pseudomyhedral twinning,all of the reflections from the twin domains overlap
Yana 2006,Jana2006
zenodo,Zenodo
read mtz file into a miller array,"<case:lower> from iotbx.reflection_file_reader import any_reflection_file <newline>hkl_file = any_reflection_file('${1:3hz7.mtz}')<newline>miller_arrays = hkl_file.as_miller_arrays(merge_equivalents=False)"
print labels of miller array,"<case:lower> [print('Miller Array %s: %s' % (i, miller_array.info().labels)) for i, miller_array in list(enumerate(miller_arrays))[:2]]"
print wavelength of each miller array,"<case:lower> [print('Miller Array %s: %s' % (i, miller_array.info().wavelength)) for i, miller_array in list(enumerate(miller_arrays))]"
print source of each miller array,"<case:lower> print('Miller Array %s: %s' % (i, miller_array.info().source)) for i, miller_array in list(enumerate(miller_arrays))]"
print number of datasets in miller array,<case:lower> len(miller_arrays)
print symmetry of each miller array,"<case:lower> [print('Miller Array %s: %s' % (i, miller_array.info().crystal_symmetry_from_file)) for i, miller_array in list(enumerate(miller_arrays))]"
print miller indices for a given miller array,<case:lower> [print(hkl) for hkl in miller_arrays[${1:0}].indices()]
print the available methods for the Miller class.,<case:lower> dir(miller_arrays[${1:0}])
print the resolution range in d star in a specified Miller array,<case:lower> miller_arrays[${1:0}].min_max_d_star_sq()
print the resolution range in Angstroms for a Miller array,<case:lower> miller_arrays[${1:0}].d_max_min()
print the I/sig overall for a given Miller array,<case:lower> miller_arrays[${1:0}].i_over_sig_i()
print CC one-half sigma tau for a given Miller array,<case:lower> miller_arrays[${1:0}].cc_one_half_sigma_tau()
print CC one-half for a given Miller array,<case:lower> miller_arrays[${1:0}].cc_one_half()
print the Bijvoet ratios in a specified Miller array,<case:lower> [print(i) for i in miller_arrays[${1:0}].bijvoet_ratios()]
Return the `measurability` of the anomalous signal in a specified Miller array,<case:lower> miller_arrays[${1:0}].measurability()
Return the anomalous signal in a specified Miller array,<case:lower> miller_arrays[${1:0}].anomalous_signal()
Show comprehensive summary for a specified Miller array,<case:lower> miller_arrays[${1:0}].show_comprehensive_summary()
Show number of bijvoet pairs for a specified Miller array,<case:lower> miller_arrays[${1:0}].n_bijvoet_pairs()
Show wilson ratio of miller array for a specified Miller array,<case:lower> miller_arrays[${1:0}].wilson_ratio()
Unpack anomalous pairs for a specified Miller array,"<case:lower> Iobs = miller_arrays[${1:0}]
i_plus, i_minus = <capitalize>I<default>obs.hemispheres_acentrics()
ipd = i_plus.data()
ip=list(ipd)
imd = i_minus.data()
im = list(imd)
len(im)
Iobs.show_summary()
print(<capitalize>I<default>obs.info())
print(<capitalize>I<default>obs.observation_type())"
insert anomalous pair plot,"%matplotlib inline
import matplotlib.pyplot as plt
import matplotlib as mpl
import matplotlib.ticker as ticker
from matplotlib.ticker import <capitalize>M<default>ultiple<capitalize>L<default>ocator 
from matplotlib.ticker import <capitalize>F<default>unc<capitalize>F<default>ormatter
from iotbx.reflection_file_reader import any_reflection_file
# >>> change the mtz file name
hkl_file = any_reflection_file('3hz7.mtz')
miller_arrays = hkl_file.as_miller_arrays(merge_equivalents=<capitalize>F<default>alse)
Iobs = miller_arrays[1]
i_plus, i_minus = <capitalize>I<default>obs.hemispheres_acentrics()
ipd = i_plus.data()
ip=list(ipd)
imd = i_minus.data()
im = list(imd)
len(im)

print('Number of anomalous pairs: ', miller_arrays[0].n_bijvoet_pairs())

comma_fmt = FuncFormatter(lambda x, p: format(int(x), ','))

mpl.rcParams['savefig.dpi'] = 600
mpl.rcParams['figure.dpi'] = 600

# Set to width of a one column on a two-column page.
# May want to adjust settings for a slide.
fig, ax = plt.subplots(figsize=[3.25, 3.25])
ax.scatter(ip,im,c='k',alpha=0.3,s=5.5)
ax.set_xlabel(r'I(+)',fontsize=12)
ax.set_ylabel(r'I(-)',fontsize=12)
ax.xaxis.set_major_locator(MultipleLocator(50000.))
ax.yaxis.set_major_locator(MultipleLocator(50000.))
ax.get_xaxis().set_major_formatter(comma_fmt)
ax.get_yaxis().set_major_formatter(comma_fmt)

plt.xticks(fontsize=12)
plt.yticks(fontsize=12)
ax.grid(<capitalize>F<default>alse)

# >>> change name of the figure file
plt.savefig('3hz7IpIm.pdf',bbox_inches='tight')"
print five rows of Iobs,list(Iobs[${1:100:105}])
extract the intensities for a Miller array and print ten rows,"Iobs = miller_arrays[${1:0}]
iobsdata = Iobs.data()
list(iobsdata[${1:100:110}])"
print all of the intensities for a given Miller array,<case:lower> [print(hkl) for hkl in miller_arrays[1].data()]
write miller array as a mtz file.,"# Convert the miller array into a mtz_dataset and write out as a mtz file.
mtz_dataset = Iobs.as_mtz_dataset(column_root_label='${1:I}')
mtz_dataset.mtz_object().write('${2:3hz7intensities}.mtz')"
read mtz file and print column labels,"<case:lower> mtz_filename2 = '${1:3hz7intensities}.mtz'
mtz_file2 = mtz.object(mtz_filename2)
mtz_file2.column_labels()"
convert arrays to dictionaries,"<case:lower> from iotbx import mtz
mtz_obj = mtz.object(file_name='${1:3nd4}.mtz')
# Only works with mtz.object. 
# Does not work if mtz is read in with iotbx.file_reader.
miller_arrays_dict = mtz_obj.as_miller_arrays_dict()"
Print the keys() of a miller dictionary.,miller_arrays_dict.keys()
Print the column labels of Miller dictionary.,"<case:lower> from iotbx import mtz
mtz_obj = mtz.object(file_name='${1:/Users/blaine/3nd4.mtz}')
# Only works with mtz.object. Does not work if mtz is read in with iotbx.file_reader.
miller_arrays_dict = mtz_obj.as_miller_arrays_dict()
[print(f'Column label: {key[2]}')  for key in miller_arrays_dict.keys()]"
generate the indices of given unit cell ,"from cctbx import miller
import cctbx
from cctbx import crystal
ms = miller.build_set(
    crystal_symmetry=crystal.symmetry(
        space_group_symbol='${1:Fd-3m}',
        unit_cell=(${2:5.4307,5.4307,5.4307,90.00,90.0,90.00})),
    anomalous_flag=${3:True},
    d_min=${4:0.4})
[print(hkl) for hkl in ms.indices()]"
generate reflections,"<case:lower> from cctbx import miller
import cctbx
from cctbx import crystal

ms = miller.build_set(
    crystal_symmetry=crystal.symmetry(
        space_group_symbol='${1:Fd-3m}',
        unit_cell=(${2:5.4307,5.4307,5.4307,90.00,90.0,90.00})),
    anomalous_flag=${3:True},
    d_min=${4:0.4})

msu = ms.map_to_asu()
[print(hkl2) for hkl2 in msu.indices()]"
print summary of mtz file after reading into miller array,"<case:lower> from iotbx.reflection_file_reader import any_reflection_file
hkl_in = any_reflection_file(file_name='${1:3nd4}.mtz')
miller_arrays = hkl_in.as_miller_arrays()
f_obs = miller_arrays[0]
f_obs.show_summary()"
print summary of mtz file after reading a mtz object,"<case:lower> from iotbx import mtz
mtz_obj = mtz.object(file_name='/Users/blaine/${1:3nd4}.mtz')
mtz_obj.show_summary()"
read mtz file into a Miller array,"<case:lower> from iotbx import mtz
mtz_obj = mtz.object(file_name='${1:3nd4}.mtz')
miller_arrays = mtz_obj.as_miller_arrays()"
read mtz file into a Miller array and truncate and print summary,"<case:lower> from iotbx import mtz
mtz_obj = mtz.object(file_name='3nd4.mtz')
miller_arrays = mtz_obj.as_miller_arrays()
miller_array_truncated = miller_arrays[0].resolution_filter(d_min=2, d_max=5)
print(miller_array_truncated)
miller_array_truncated.show_summary()"
insert space group number for P 1 bar,2
open phenix tutorials,<open:https://phenix-online.org/workshops_tutorials>
open phenix workshops,<open:https://phenix-online.org/workshops_tutorials>
open cctbx docs,<open:https://cci.lbl.gov/docs/cctbx/>
expand ND,neutron diffraction
insert space group number for F d d 2,43
insert space group number for I m m 2,44
insert space group number for I b a 2,45
insert space group number for I m a 2,46
insert space group number for P m m m,47
insert space group number for P n n n,48
insert space group number for P c c m,49
insert space group number for P b a n,50
insert space group number for P m m a,51
insert space group number for P n n a,52
insert space group number for P m n a,53
insert space group number for P c c a,54
insert space group number for P b a m,55
insert space group number for P c c n,56
insert space group number for P c b m,57
insert space group number for P n n m,58
insert space group number for P m m n,59
insert space group number for P b c n,60
insert space group number for P b c a,61
insert space group number for P n m a,62
insert space group number for C m c m,63
insert space group number for C m c a,64
insert space group number for C m m m,65
insert space group number for C c c m,66
insert space group number for C m m a,67
insert space group number for C c c a,68
insert space group number for F m m m,69
insert space group number for F d d d,70
insert space group number for I m m m,71
insert space group number for I b a m,72
insert space group number for I b c a,73
insert space group number for I m m a,74
insert space group number for P bar 4,81
insert space group number for I bar 4,82
insert space group number for P 4 over m,83
insert space group number for P 4 sub 2 over m,84
insert space group number for P 4 over n,85
insert space group number for P 4 sub 2 over n,86
insert space group number for I 4 over m,87
insert space group number for I 4 sub 1 over a,88
insert space group number for P 4 m m,99
insert space group number for P 4 b m,100
insert space group number for P 4 sub 2 c m,101
insert space group number for P 4 sub 2 n m,102
insert space group number for P 4 c c,103
insert space group number for P 4 n c,104
insert space group number for P 4 sub 2 m c,105
insert space group number for P 4 sub 2 b c,106
insert space group number for I 4 m m,107
insert space group number for I 4 c m,108
insert space group number for I 4 sub 1 m d,109
insert space group number for I 4 sub 1 c d,110
insert space group number for P 4 bar 2 m,111
insert space group number for P 4 bar 2 c,112
insert space group number for P 4 bar 2 sub 1 m,113
insert space group number for P 4 bar 2 sub 1 c,114
insert space group number for P 4 bar 2 m 2,115
insert space group number for P 4 bar 2 c 2,116
insert space group number for P 4 bar 2 b 2,117
insert space group number for P 4 bar 2 n 2,118
insert space group number for I 4 bar m 2,119
insert space group number for I 4 bar c 2,120
insert space group number for I 4 bar 2 m,121
insert space group number for I 4 bar 2 d,122
insert space group number for P 4 over m m m,123
insert space group number for P 4 over m c c,124
insert space group number for P 4 over n b m,125
insert space group number for P 4 over n n c,126
insert space group number for P 4 over m b m,127
insert space group number for P 4 over m n c,128
insert space group number for P 4 over n m m,129
insert space group number for P 4 over n c c,130
insert space group number for P 4 over m m c,131
insert space group number for P 4 sub 2 over m m c,132
insert space group number for P 4 sub 2 over n b c,133
insert space group number for P 4 sub 2 over n n m,134
insert space group number for P 4 sub 2 over m b c,135
insert space group number for P 4 sub 2 over m n m,136
insert space group number for P 4 sub 2 over n m c,137
insert space group number for P 4 sub 2 over n c m,138
insert space group number for I 4 over m m m,139
insert space group number for I 4 over m c m,140
insert space group number for I 4 sub 1 over a m d,141
insert space group number for I 4 sub 1 over a c d,142
insert space group number for P 3 bar,147
insert space group number for R 3 bar,148
insert space group number for P 3 m 1,156
insert space group number for P 3 1 m,157
insert space group number for P 3 c 1,158
insert space group number for P 3 1 c,159
insert space group number for R 3 m,160
insert space group number for R 3 c,161
insert space group number for P 3 bar 1 m,162
insert space group number for P 3 bar 1 c,163
insert space group number for P 3 bar m 1,164
insert space group number for P 3 bar c 1,165
insert space group number for R 3 bar m,166
insert space group number for R 3 bar c,167
insert space group number for P 6 bar,174
insert space group number for P 6 bar over m,175
insert space group number for P 6 sub 3 over m,176
insert space group number for P 6 m m,183
insert space group number for P 6 c c,184
insert space group number for P 6 sub 3 c m,185
insert space group number for P 6 sub 3 m c,186
insert space group number for P 6 bar m 2,187
insert space group number for P 6 bar c 2,188
insert space group number for P 6 bar 2 m,189
insert space group number for P 6 bar 2 c,190
insert space group number for P 6 over m m m,191
insert space group number for P 6 over m c c,192
insert space group number for P 6 sub 3 over m c m,193
insert space group number for P 6 sub 3 over m m c,194
insert space group number for P m 3 bar,200
insert space group number for P n 3 bar,201
insert space group number for F m 3 bar,202
insert space group number for F d 3 bar,203
insert space group number for I m 3 bar,204
insert space group number for P a 3 bar,205
insert space group number for I a 3 bar,206
insert space group number for P 4 bar 3 m,215
insert space group number for F 4 bar 3 m,216
insert space group number for I 4 bar 3 m,217
insert space group number for P 4 bar 3 n,218
insert space group number for F 4 bar 3 c,219
insert space group number for I 4 bar 3 d,220
insert space group number for P m 3 bar m,221
insert space group number for P n 3 bar n,222
insert space group number for P m 3 bar n,223
insert space group number for P n 3 bar m,224
insert space group number for F m 3 bar m,225
insert space group number for F m 3 bar c,226
insert space group number for F d 3 bar m,227
insert space group number for F d 3 bar c,228
insert space group number for I m 3 bar m,229
insert space group number for I a 3 bar d,230
I a 3 bar d,$I a \overline{3} d$
I m 3 bar m,$I m \overline{3} m$
F d 3 bar c,$F d \overline{3} c$
F d 3 bar m,$F d \overline{3} m$
F m 3 bar c,$F m \overline{3} c$
F m 3 bar m,$F m \overline{3} m$
P n 3 bar m,$P n \overline{3} m$
P m 3 bar n,$P m \overline{3} n$
P n 3 bar n,$P n \overline{3} n$
P m 3 bar m,$P m \overline{3} m$
I 4 bar 3 d,$I 4 \overline{3} d$
F 4 bar 3 c,$F \overline{4} 3 c$
P 4 bar 3 n,$P \overline{4} 3 n$
F 4 bar 3 m,$F \overline{4} 3 m$
I a 3 bar,$I a \overline{3}$
P a 3 bar,$P a \overline{3}$
I m 3 bar,$I m \overline{3}$
F d 3 bar,$F d \overline{3}$
F m 3 bar,$F m \overline{3}$
P n 3 bar,$P n \overline{3}$
P m 3 bar,$P m \overline{3}$
P 6 sub 3 over m m c,$P6_{3} /mmc$
P 6 sub 3 over m c m,$P6_{3} /mcm$
P 6 over m c c,$P6_{3} /mcc$
P 6 over m m m,$P6 /mmm$
P 6 bar 2 c,$P\overline{6}2c$
P 6 bar 2 m,$P\overline{6}2m$
P 6 bar c 2,$P\overline{6}c2$
P 6 bar m 2,$P\overline{6}m2$
P 6 sub 3 m c,$P6_{3}mc$
P 6 sub 3 c m,$P6_{3}cm$
P 6 c c,$P6cc$
P 6 m m,$P6mm$
P 6 sub 3 over m,$P6_{3}/m$
F d d 2,$Fdd2$
I m m 2,$Imm2$
I b a 2,$Iba2$
I m a 2,$Ima2$
P m m m,$Pmmm$
P n n n,$Pnnn$
P c c m,$Pccm$
P b a n,$Pban$
P m m a,$Pmma$
P n n a,$Pnna$
P m n a,$Pmna$
P c c a,$Pcca$
P b a m,$Pbam$
P c c n,$Pccn$
P c b m,$Pcbm$
P n n m,$Pnnm$
P m m n,$Pmmn$
P b c n,$Pbcn$
P b c a,$Pbca$
P n m a,$Pnma$
C m c m,$Cmcm$
C m c a,$Cmca$
C m m m,$Cmmm$
C c c m,$Cccm$
C m m a,$Cmma$
C c c a,$Ccca$
F m m m,$Fmmm$
F d d d,$Fddd$
I m m m,$Immm$
I b a m,$Ibam$
I b c a,$Ibca$
I m m a,$Imma$
P bar 4,$P\overline{4}$
I bar 4,$I\overline{4}$
P 4 over m,$P4/m$
P 4 sub 2 over m,$P4_{2}/m$
P 4 over n,$P4/n$
P 4 sub 2 over n,$P4_{2}/n$
I 4 over m,$I4/m$
I 4 sub 1 over a,$I4_{1}/a$
P 4 m m,$P4mm$
P 4 b m,$P4bm$
P 4 sub 2 c m,$P4_{2}cm$
P 4 sub 2 n m,$P4_{2}nm$
P 4 c c,$P4cc$
P 4 n c,$P4nc$
P 4 sub 2 m c,$P4_{2}mc$
P 4 sub 2 b c,$P4_{2}bc$
I 4 m m,$I4mm$
I 4 c m,$I4cm$
I 4 sub 1 m d,$I4_{1}md$
I 4 sub 1 c d,$I4_{1}cd$
P 4 bar 2 m,$P\overline{4}2m$
P 4 bar 2 c,$P\overline{4}2c$
P 4 bar 2 sub 1 m,$P\overline{4}2_{1}m$
P 4 bar 2 sub 1 c,$P\overline{4}2_{1}c$
P 4 bar 2 m 2,$P\overline{4}2m2$
P 4 bar 2 c 2,$P\overline{4}2c2$
P 4 bar 2 b 2,$P\overline{4}2b2$
P 4 bar 2 n 2,$P\overline{4}2n2$
I 4 bar m 2,$I\overline{4}m2$
I 4 bar c 2,$I\overline{4}c2$
I 4 bar 2 m,$I\overline{4}2m$
I 4 bar 2 d,$I\overline{4}2d$
P 4 over m m m,$P4/mmm$
P 4 over m c c,$P4/mcc$
P 4 over n b m,$P4/nbm$
P 4 over n n c,$P4/nnc$
P 4 over m b m,$P4/mbm$
P 4 over m n c,$P4/mnc$
P 4 over n m m,$P4/nmm$
P 4 over n c c,$P4/ccc$
P 4 over m m c,$P4/mmc$
P 4 sub 2 over m m c,$P4_{2}/mmc$
P 4 sub 2 over n b c,$P4_{2}/nbc$
P 4 sub 2 over n n m,$P4_{2}/nnm$
P 4 sub 2 over m b c,$P4_{2}/mbc$
P 4 sub 2 over m n m,$P4_{2}/mnm$
P 4 sub 2 over n m c,$P4_{2}/nmc$
P 4 sub 2 over n c m,$P4_{2}/ncm$
I 4 over m m m,$I4/mmm$
I 4 over m c m,$I4/mcm$
I 4 sub 1 over a m d,$I4_{1}/amd$
I 4 sub 1 over a c d,$I4_{1}/acd$
P 3 bar 1 m,$P\overline{3}1m$
R 3 bar,$R\overline{3}$
P 3 m 1,$P3m1$
P 3 1 m,$P31m$
P 3 c 1,$P3c1$
P 3 1 c,$P31c$
R 3 m,$R3m$
R 3 c,$R3c$
P 3 bar 1 m,$P\overline{3}1m$
P 3 bar 1 c,$P\overline{3}1c$
P 3 bar m 1,$P\overline{3}m1$
P 3 bar c 1,$P\overline{3}c1$
R 3 bar m,$R\overline{3}m$
R 3 bar c,$R\overline{3}c$
P 6 bar,$P\overline{6}$
P 6 bar over m,$P\overline{6}/m$
expand SONIC,second-order nonlinear optical imaging of chiral crystals
expand MCMS,Mirco-Cross-Seeding Matrix Screening
expand MSMS,Micro-Self-Seeding Matrix Screening
Meta stable,metastable
better stable,metastable
meta sable,metastable
let that stable,metastable
CD,seeding
micro seating,microseeding
macro seating,macroseeding
cross seating,cross-seeding
Iterative CD,iterative seeding
Iterative seating,iterative seeding
tectured placements,text replacements
meta staple zone,metastable zone
metal staple,metastable
my proceeding,microseeding
micro seating,microseeding
face diagram,phase diagram
display relation between normalized intensity and the Wilson B,$$Y=\left[\left\langle I_{\mathrm{obs}}(h k l)\right\rangle / \sum_j f_j^2\right]=k \exp \left(-2 B \sin ^2 \theta / \lambda^2\right)$$
display relation between natural log of normalized intensity and the Wilson B,$$Y=\left[\left\langle I_{\mathrm{obs}}(h k l)\right\rangle / \sum_j f_j^2\right]=k \exp \left(-2 B \sin ^2 \theta / \lambda^2\right)$$
display equation for relative Wilson plot for two crystals A and B,$$\ln \left(\frac{Y_B}{Y_A}\right)=\ln \left(\frac{k_B}{k_A}\right)-2\left(B_B-B_A\right)\left(\frac{\sin ^2 \theta}{\lambda^2}\right)$$
Wilson bee factor,Wilson B-factor
inline Iowa cig,$I/{\sigma}$
20 by hemahedron,twinning by hemihedry
20 fraction,twinning fraction
20 law,twining law
20th operator,twinning operator
aca,ACA
actor chris,Acta Cryst.
actor chris section d,Acta Cryst. Section D
actor chris section f,Acta Cryst. Section F
actor christ,Acta Cryst.
alpha fold three,AlphaFold3
alpha fold two,AlphaFold2
als,ALS
amber,AMBER
aps,APS
are factors,$R$-factors
are free,$R_{free}$
are free,$R_{free}$
biological sex,biological SAXS
biological small angle scattering database,SASDB
bizarre systematic absences,non-space group absences 
blue eyes,Blu-Ice
blue ice,Blu-Ice
bnl,BNL
britian plot,Britton plot 
cctbx,cctbx
cd,seeding
charm plus plus,charm++
check my metal,checkMyMetal
check my sequence,checkMySequence
chess,CHESS
cinco tron radiation, synchotron radiation
cite numpy,\cite{Harris2020ArrayProgrammingWithNumPy}
cns,CNS
co-crystallization,co-crystallization
computational cartography newsletter,Computational Crystallography Newsletter
computational crystallography newsletter,Computational Crystallography Newsletter
computational crystalography newsletter,\emph{Computational Crystallography Newsletter}
computing in science and engineering,Computing in Science and Engineering
computing in science and engineering journal,\emph{Computing in Science and Engineering} journal
create cctbx conda environment,conda create -n cctbx312 -c conda-forge cctbx-base python=3.12
create cctbx conda kernel,conda activate cctbx312 && python -m ipykernel install --user --name cctbx312 --display-name 'cctbx 3.12'
crile em,cryoEM
crime em,cryoEM
crims,CRIMS
cross seating,cross-seeding
crowley amd,cryoEM
crowley in grades,cryoEM grids
cryo em index key, \index{cryoEM}
crystal 20,crystal twinning
crystal graphic,crystallographic
crystal graphics symmetry,crystallographic symmetry
crystal low graphic symmetry,crystallographic symmetry
crystalography,crystallography
crystography,crystallography
cue refine,qrefine
cue refined,qrefine
define a twin law,the set of all the twin operations that do the same mapping
define epitaxy,the oriented crystal association of chemically heterogeneous phases
define non-merohedral twinning,only certain zones of reciprocal lattice points overlap
define twin operation,the operation mapping the orientations of two individuals of a twin and is a crystallographic operation about a direct lattice element
define twinning,the oriented association of two or more individual domains in the same crystalline phase
disarmography,crystallography
double expand sac,SSRL Scientific Advisory Committee
double expand ssrl sac,SSRL Scientific Advisory Committee
double expand ssrl uec,Stanford Synchtron Radiation Lightsource Users Executive Committee
edit command,<open:chrome-extension://pjnefijmagpdjfhhkpljicbbpicelgko/settings.html#voice-commands>
edit commands,<open:chrome-extension://pjnefijmagpdjfhhkpljicbbpicelgko/settings.html#voice-commands>
edit voice in command,<open:chrome-extension://pjnefijmagpdjfhhkpljicbbpicelgko/settings.html#voice-commands>
edit voice in commands,<open:chrome-extension://pjnefijmagpdjfhhkpljicbbpicelgko/settings.html#voice-commands>
electric graphics,molecular graphics
electric placement,molecular replacement
epitaxial twinning,WRONG!! Misused term. Rewrite.
display equation for quantum refinment in phenix,$$\mathrm{E}_{\text {ONIOM }}^{Q M / M M}=\mathrm{E}_{\text {QMlayer }}^{Q M}+\mathrm{E}_{\text {all }}^{M M}-\mathrm{E}_{\text {QMlayer }}^{M M}$$
display equation for gradient driven quantum refinment in phenix,$$\left(\nabla \mathbf{x}_i\right)_{\text {total }}=\mathrm{K} * \Omega_{\text {xray }} *\left(\nabla \mathbf{x}_i\right)_{\text {xray }}+\Omega_{\text {geom }} * \boldsymbol{\varpi}_i *\left(\nabla \mathbf{x}_i\right)_{\text {ONIOM }}$$
eval 15,Eval15
expand 3d ed,three-dimensional electron diffraction
expand 3dva,3D variability analysis
expand aca,ACA the Structural Science Society
expand adm,Alternating Directions Method
expand adp,Atomic Displacement Paramters
expand advi,Automatic Differentiation Variational Inference
expand ae,autoencoder
expand aes,adaptive exploratory sampling
expand afca,African Crystallographic Association
expand afe,advanced front-end
expand agi,Artificial General Intelligence
expand ahs,adaptive hybrid sampling
expand aic,Watanabe-Akaile Information Criterion
expand air,acoustic impulse response
expand ais,adaptive importance sampling
expand ajax,Asynchronous JavaScript and XML
expand ald,Associate Lab Director
expand alm,Augmented Lagrange Multiplier
expand als,Advanced Light Source
expand amci,Amortized Monte Carlo Integration
expand amf,Atomic Modulation Function
expand anova,Analysis of Variance
expand ansi,American National Standard Institute
expand aps,Advanced Photon Source
