20 by merohedry,twinning by merohedry
expand arma,Autoregressive Moving Average
expand armax,Autoregressive Moving Average with eXogenous input
expand biocat,Biophysics Collaborative Access Team
expand biosas,biological small angle scattering
expand bsc,Biomolecular Structure Core
expand bsl-1,Biosafety Level 1
expand bsl-2,Biosafety Level 2
expand cablam,C-alpha Based Low-resolution Annotation Methods
expand ccl,Chemical Component Library
expand ccn,Computational Crystallography Newsletter
expand ccp4,Collaborative Computational Project Number 4
expand ccp4i,CCP4 Graphical User Interface
expand ccp4mg,CCP4 Molecular Graphics
expand ccr,Center for Cancer Research at NCI
expand cctbx,Computational Crystallography Toolbox
expand cd,circular dichroism
expand charm,Chemistry at Harvard Molecular Mechanics
expand charmm,Chemistry at Harvard Molecular Mechanics
expand chess,Cornell High Energy Synchrotron Source
expand cif,Crystallographic Information File 
expand cmb,IUCr Commission on Biological Macromolecules
expand cmllr,Constrained Maximum Likelihood Linear Regression
expand cmm,checkMyMetal
expand cns,Crystallography and NMR System
expand coot,Crystallographic Object-Oriented Toolkit
expand covid-19,coronavirus disease 2019
expand crims,Crystallographic Information Management System
expand cryo-em,cryo-electron microscopy
expand csd,Cambridge Structural Database
expand csgid,Center for Structural Genomics of Infectious Diseases
expand dddwg,IUCr Diffraction Data Deposition Working Group
expand dft,Density Functional Theory
expand dhasd,Delaunay hybrid adaptive sequential desig
expand dsd,Definitive Screening Design
expand dsl,Diamond Light Source
expand dsw,Data Science Workshop
expand dt,Delaunay triangulation
expand dtt,dithiothreitol
expand elbow,electronic ligand Building
expand ellgi,estimated Log-likelihood Gain on the Intensities
expand elmam2,Epxerimental Library of Multipolar Atom Model 2
expand elmo,Extremely Localized Molecular Oribitals
expand eln,Electronic Lab Notebook
expand eom,Ensemble Optimization Method
expand ephi,electronic Protected Health Information
expand epmm,Exact Potential Multipole Moment
expand epr,Electron Paramagnetic Resonance
expand eros,Ensemble Refinement of SAXS
expand esrf,European Synchrotron Radiation Facility
expand fel,free-electron laser
expand fft,Fast Fourier Transform
expand fnl,Frederick National Laboratory
expand ga,Genetic Algorithm
expand gpr,Gaussian Process Regression
expand gpt,Generative Pretrained Transformer
expand gpt-3,Generative Pre-trained Transformer-3
expand gpt-4,Generative Pre-trained Transformer-4
expand gpu,Graphics Processing Unit
expand gpus,Graphics Processing Units
expand gui,graphical user interface
expand hdf,Hierarchical Data Format
expand hepes,4-(2-hydroxyethyl)-1-piperazineethanesulfonic acid
expand hetatm,hetero atom
expand hf,Hartree-Fock
expand hfir,High Flux Isotope Reactor
expand hm,harmonic mean
expand hm-svms,hidden Markov support vector machines
expand hmc,Hamiltonian Monte Carlo or Hybrid MC
expand hmm,Hidden Markov Model
expand hpd,Highest Posterior Density
expand hpdi,Highest Posterior Density Interval
expand hplc,High-pressure liquid chromatography
expand iam,Independent Atom Model
expand ias,Interatomic Scatterers
expand ideal,Invariom Derived Electron AnaLysis
expand INBRE,IDeA Networks of Biomedical Research Excellence
expand irrmc,Integrated Resource for Reproducibility in Macromolecular Crystallography
expand ispyb,Information System for Protein crystallography Beamlines
expand iucr,International Union of Crystallography
expand j a c,\emph{Journal of Applied Crystallography}
expand jcsg,Joint Center for Structural Genomic
expand jmlr,Journal of Machine Learning Research
expand jsr,Journal of Synchrotron Radiation
expand kde,kernal density estimation
expand lalls,low-angle laser light scattering
expand lcls,Linac Coherent Light Source
expand lims,Laboratory Information Management System
expand ls,light scattering
expand malls,multi-angle laser light scattering
expand mals,multi-angle light scattering
expand mcmc,Markov Chain Monte Carlo
expand md,Molecular Dynamics
expand md simulations,molecular dynamics simulations
expand me,maximum entropy
expand mem,Maximum Entropy Method
expand mes,Minimal Ensemble Search
expand mes buffer,2-(N-morpholino)ethanesulfonic acid
expand mir,Multiple Isomorpous Replacement
expand mira,Maximizing Investigators Research Award
expand moo,Multiobjective Optimization
expand mopac,Molecular Orbital PACkage
expand mops,3-(N-morpholino)propanesulfonic acid
expand mx,macromolecular crystallography
expand nakb,Nucleic Acid Knowledge Base
expand nbsr,National Bureau of Standards Reactor
expand ncats,National Center for Advancing Translational Sciences
expand ncbi,National Center for Biotechnology Information
expand nccih,National Center for Complementary and Integrative Health
expand nci,noncovalent interaction
expand ncnr,NIST Center for Neutron Research
expand ndb,Nucleic Acid Database
expand nei,National Eye Institute
expand nei,National Eye Institute
expand nfpa,National Fire Protection Association
expand nhgri,National Human Genome Research Institute
expand nia,National Institute on Aging
expand niaaa,National Institute on Alcohol Abuse and Alcoholism
expand niaid,National Institute of Allergy and Infectious Diseases
expand niams,National Institute of Arthritis and Musculoskeletal and Skin Diseases
expand nibib,National Institute of Biomedical Imaging and Bioengineering
expand nida,National Institute on Drug Abuse
expand nidcd,National Institute on Deafness and Other Communication Disorders
expand nidcr,National Institute of Dental and Craniofacial Research
expand niddk,National Institute of Diabetes and Digestive and Kidney Diseases
expand niehs,National Institute of Environmental Health Sciences 
expand nigms,National Institute of General Medical Sciences
expand nimble,Numerical Inference Models Bayesian Likelihood Estimation
expand nimh,National Institute of Mental Health
expand nimhd,National Institute on Minority Health and Health Disparities
expand ninds,National Institute of Neurological Disorders and Stroke
expand ninr,National Institute of Nursing Research
expand nist,National Institute of Standards and Technology
expand nll,Negative log likelihood
expand nlm,National Library of Medicine
expand nls,Nonlinear Schrdinger Equation
expand nmc,Normalized Modulation Coefficient
expand nmf,Nonnegative Matrix Factorization
expand nmr,Nuclear Magnetic Resonance
expand nn,neural networks
expand nn-rs,neural network response surfaces
expand nofo,Notice of Funding Opportunity
expand np,nondeterministic polynomial time
expand nsls2,National Synchtrotron Light Source II
expand nysgrc,New York Structural Genomics Research Consortium
expand oniom,\underline{O}ur own \underline{N}-layered \underline{I}ntegrated molecular \underline{O}rbital and molecular \underline{M}echanics 
expand ora,Office of Research Administration 
expand osha,Occupational Safety and Health Administration
expand oup,Oxford University Press
expand pdb,Protein Data Bank
expand pdb id,Protein Data Bank identifier
expand pdbe,Protein Data Bank in Europe
expand pddf,Pairwise Distance Distribution Function
expand pep,Protein Expression and Purification
expand phenix,Python-based Hierarchical ENvironment for Integrated Xtallography
expand pims,Protein Information Management System
expand pinns,Physics Informed Neural Networks
expand pipes,"piperazine-N,N-bis(2-ethanesulfonic acid"
expand pli,protein-ligand interactions
expand ppl,Probabilistic Programming Languages
expand pso,particle swarm optimization
expand pst,Patterson Superposition Techniques
expand qtaim,Quantum Theory of Atoms in Molecules
expand ralls,right-angle laser light scattering
expand rbf,radial basis functions
expand relu,rectified linear unit
expand remd,Replica Exchange Molecular Dynamics
expand reml,residual maximum likelihood
expand repl,ReadEvalPrint Loop
expand rhs,Right Hand Side (of an equation)
expand ri,refractive index
expand ribd,randomized incomplete block design
expand rncs,rotational noncrystallographic symmetry
expand rnn,recurrent neural network
expand rnnlm,Recurrent neural network language model
expand rope,Representation of Protein Entities
expand sack,Scientific Advisory Committee
expand sad,single wavelength anomalous dispersion
expand sans,Small Angle Neutron Scattering
expand sapt,Symmetry-Adapted Perturbation Theory
expand sars-cov-2, severe acute respiratory syndrome coronavirus 2
expand sas,small-angle scattering
expand sasbdb,Small Angle Scattering Biological Data Bank
expand saxs,small-angle X-ray scattering
expand scf,Self-Consistent Field
expand scm,Source Code Management
expand sdk,Software Development Kit
expand se,Standard Error
expand sec-mals,size-exclusion chromatography multi-angle light scattering
expand sec-saxs,Size-exclusion chromatography Small Angle X-ray Scattering
expand seo,Search Engine Optimisation
expand sfx,Serial Femtosecond Crystallography
expand sg-mcmc,Stochastic gradient Markov chain Monte Carlo
expand sgc,Structural Genomics Consortium
expand sgd,Stochastic Gradient Descent
expand shg,Second-harmonic generation
expand siam,Soceity for Industrial and Applied Mathematics
expand sibyls,Structurally Integrated biology for Life Sciences
expand sindy,Sparse Identification of Nonlinear Dynamics
expand slac,SLAC National Accelerator Center
expand sloc,Source Lines of Code
expand sls,Swiss Light Source
expand slurm,Simple Linux Utility for Resource Management
expand smfret,single molecule Fluoresence Resonance Energy Transfer
expand smiles,Simplified Molecular-Input Line-Entry System 
expand smis,Scientific Management Information System
expand sms,Sparse Matrix Sampling
expand smwaxs,Small Angle/Medium Angle/Wide Angle X-ray Scattering Combined
expand snn,spiking neural network
expand snr,Signal-to-Noise Ratio
expand sns,Swiss Neutron Source
expand soap,Simple Object Access Protocol
expand sobsa,sequencing optimization based on simulated annealing
expand som,Self-Organizing Map
expand sop,Standard Operating Procedures
expand sql,Structured Query Language
expand sqlxml,SQL Server XML
expand ssgcid,Seattle Structural Genomics Center for Infectious Disease
expand ssm,State Space Model
expand ssns,Swiss Spallation Neutron Source
expand ssr,Sum of Squares Around the Regression Model
expand ssrl,Stanford Synchrotron Radiation Lightsource
expand ssrl sack,SSRL Scientific Advisory Committee
expand ssrl uec,SSRL Users Executive Committee
expand swaxs,small-wide angle X-ray scattering
expand taam,Transferable Aspherical Atom Model
citekey for short history of shelx,\cite{Sheldrick2008AShortHistoryOfSHELX}
citekey for numpy,\cite{Harris2020ArrayProgrammingWithNumPy}
citekey for Sheldrick 2008,\cite{Sheldrick2008AShortHistoryOfSHELX}
citekey for Harris 2020,\cite{Harris2020ArrayProgrammingWithNumPy}
citekey for shelx c d e,\cite{Sheldrick2010ExperimentalPhasingWithSHELXCDECombiningChainTracingWithDensityModification}
citekey for Sheldrick 2010,\cite{Sheldrick2010ExperimentalPhasingWithSHELXCDECombiningChainTracingWithDensityModification}
citekey for hkl 2 map,\cite{Pape2004HKL2MAPAGraphicalUserInterfaceForMacromolecularPhasingWithSHELXPrograms}
citekey for pape 2004,\cite{Pape2004HKL2MAPAGraphicalUserInterfaceForMacromolecularPhasingWithSHELXPrograms}
citekey for pattersons as priors,\cite{Burla2024UpdatingDirectMethodsII}
citekey for Burla 2024,\cite{Burla2024UpdatingDirectMethodsII}
url for sir 2019,\url{https://www.ba.ic.cnr.it/softwareic/sir2014/}
open sir 2019,<open:https://www.ba.ic.cnr.it/softwareic/sir2014/>
open protein science,<open:https://onlinelibrary.wiley.com/journal/1469896x?tabActivePane=undefined>
open structure,<open:https://www.cell.com/structure/home>
open acta cryst section a,<open:https://journals.iucr.org/a/index.html>
open acta cryst section b,<open:https://journals.iucr.org/b/index.html>
open acta cryst section c,<open:https://journals.iucr.org/c/index.html>
open acta cryst section d,<open:https://journals.iucr.org/d/index.html>
open acta cryst section f,<open:https://journals.iucr.org/f/index.html>
open acta cryst section e,<open:https://journals.iucr.org/e/index.html>
open jac,<open:https://journals.iucr.org/j/index.html>
open journal of applied crystallography,<open:https://journals.iucr.org/j/index.html>
open journal of synchrotron radiation,<open:https://journals.iucr.org/s/index.html>
open j s r,<open:https://journals.iucr.org/s/index.html>
open IUCr J,<open:https://journals.iucr.org/m/index.html>
open IUCr Data,<open:https://journals.iucr.org/x/index.html>
open jstor,<open:https://journals.iucr.org/x/index.html>
open google scholar,<open:https://scholar.google.com/>
open biorxiv,<open:https://www.biorxiv.org>
open bio archive,<open:https://www.biorxiv.org>
open arxiv,<open:https://arxiv.org/find>
open archive,<open:https://arxiv.org/find>
open archive to bibtex,<open:http://www.martin-thoma.de/arxiv.php>
open chem archive,<open:https://chemrxiv.org/engage/chemrxiv/public-dashboard>
open chemrxiv,<open:https://chemrxiv.org/engage/chemrxiv/public-dashboard>
open preprints ,<open:https://www.preprints.org/>
open pubmed,<open:https://pubmed.ncbi.nlm.nih.gov/>
open algorithms for molecular biology,<open:https://almob.biomedcentral.com/>
open Angewandte Chemie International Edition,<open:https://onlinelibrary.wiley.com/journal/15213773>
open analytical biochemistry,<open:https://www.sciencedirect.com/journal/analytical-biochemistry>
open annual review of biochemistry,<open:https://www.annualreviews.org/content/journals/biochem/browse?page=previous-issues>
open annual review of biophysics,<open:https://www.annualreviews.org/content/journals/biophys/browse?page=previous-issues>
open archives of biochemistry and biophysics,<open:https://www.sciencedirect.com/journal/archives-of-biochemistry-and-biophysics>
open Artificial Intelligence in Medicine,<open:https://www.sciencedirect.com/journal/artificial-intelligence-in-medicine>
open big data,<open:https://www.liebertpub.com/big/>
open biochemical journal,<open:https://portlandpress.com/biochemj>
open Biochemical Society Transactions,<open:https://portlandpress.com/biochemsoctrans>
open biochemie,<open:https://www.sciencedirect.com/journal/biochimie>
open biochemical society transactions,<open:https://portlandpress.com/biochemsoctrans>
open Biochemical and Biophysical Research Communications,<open:https://www.sciencedirect.com/journal/biochemical-and-biophysical-research-communications>
open biochemistry,<open:https://pubs.acs.org/loi/bichaw>
open bioinformatics,<open:https://www.sciencedirect.com/book/9781558608290/bioinformatics>
open biomolecular engineering,<open:https://www.sciencedirect.com/journal/biomolecular-engineering>
open biomolecules,<open:https://www.mdpi.com/journal/biomolecules>
open bioorganic chemistry,<open:https://www.sciencedirect.com/journal/bioorganic-chemistry>
open biophysical chemistry,<open:https://www.sciencedirect.com/journal/biophysical-chemistry>
open biophysical journal,<open:https://www.cell.com/biophysj/archive>
open biopolymers,<open:https://onlinelibrary.wiley.com/journal/10970282>
open biotechniques,<open:http://www.biotechniques.com/default.asp?page=current>
open BioMed Central,<open:http://www.biomedcentral.com/>
open BMC Bioinformatics,<open:http://www.biomedcentral.com/bmcbioinformatics/>
open BMC Biophysics ,<open:http://www.biomedcentral.com/>
open BMC Chemical Biology,<open:http://www.biomedcentral.com/bmcchembiol/>
open BMC Infectious Diseases,<open:http://www.biomedcentral.com/bmcinfectdis/BMC>
open BMC Structural Biology,<open:http://www.pubmedcentral.nih.gov/tocrender.fcgi?iid=126947/>
open Briefings in Bioinformatics,<open:http://bib.oxfordjournals.org.ezproxy.lib.ou.edu/content/by/year>
open Cell,<open:http://www.sciencedirect.com/science/journal/00928674>
open Cellular and Molecular Life Sciences,<open:http://www.springerlink.com/content/101193>
open ChemBioChem,<open:http://www3.interscience.wiley.com/journal/72510898/home>
open Chemical Biology,<open:http://pubs.acs.org/journal/acbcct>
open Chemical Physics Letters ,<open:http://www.sciencedirect.com/science/journal/00092614>
open analytical biochemistry,<open:https://www.sciencedirect.com/journal/analytical-biochemistry>
open annual review of biochemistry,<open:https://www.annualreviews.org/content/journals/biochem/browse?page=previous-issues>
open Chemical Reviews,<open:http://pubs.acs.org/journals/chreay/index.html>
open Chemical Society Reviews,<open:http://www.rsc.org/Publishing/journals/index.asp>
open Chemistry and Biology,<open:http://www.sciencedirect.com/science/journal/10745521>
open ChemMedChem,<open:http://www3.interscience.wiley.com/journal/110485305/home>
open Computational Crystallography Newsletter,<open:http://www.phenix-online.org/newsletter/>
open Computational Statistics and Data Analysis,<open:http://www.sciencedirect.com.ezproxy.lib.ou.edu/science/journal/01679473>
open Computer Physics Communications,<open:http://www.journals.elsevier.com/computer-physics-communications>
open Computer Methods and Programs in Biomedicine,<open:http://www.sciencedirect.com/science/journal/01692607>
open Computing in Science and Engineering,<open:https://www.computer.org/csdl/magazine/cs>
open Crystal Growth and Design,<open:http://pubs.acs.org/journal/cgdefu>
open Crystal Engineering,<open:http://www.sciencedirect.com/science/journal/14630184>
open Crystallography Reports,<open:https://link.springer.com/journal/11445>
open Crystallography Reviews,<open:http://www.tandf.co.uk/journals/titles/0889311x.html>
open Crystals,<open:http://www.mdpi.com/journal/crystals>
open Current Biology,<open:http://www.sciencedirect.com/science/journal/09609822>
open Current Computer-Aided Drug Design,<open:http://www.bentham.org/ccadd/>
open Current Research in Structural Biology,<open:https://www.sciencedirect.com/journal/current-research-in-structural-biology/issues>
open Computer Graphics Forum,<open:https://onlinelibrary.wiley.com/journal/14678659>
open BBRC,<open:https://www.sciencedirect.com/journal/biochemical-and-biophysical-research-communications>
open CMLS,<open:http://www.springerlink.com/content/101193>
open Current Opinion in Biotechnology,<open:http://www.sciencedirect.com/science/journal/09581669>
open Current Opinion in Cell Biology,<open:http://www.sciencedirect.com/science/journal/09550674>
open Current Opinion in Chemical Biology,<open:http://www.sciencedirect.com/science/journal/13675931>
open Current Opinion in Genetics and Development,<open:http://www.sciencedirect.com/science/journal/0959437X>
open Current Opinion in Immunology,<open:http://www.sciencedirect.com/science/journal/09527915>
open Current Opinion in Microbiology,<open:http://www.sciencedirect.com/science/journal/13695274>
open Current Opinion in Pharmacology,<open:http://www.sciencedirect.com/science/journal/14714892>
open Current Opinion in Structural Biology,<open:http://www.sciencedirect.com/science/journal/0959440X>
open Dalton Transactions,<open:http://pubs.rsc.org/en/Content/ArticleLanding>
open electrophoresis,<open:http://www3.interscience.wiley.com/journal/10008330/home>
open elife,<open:http://elifesciences.org/>
open EMBO Journal,<open:http://www.pubmedcentral.nih.gov/tocrender.fcgi?action=archive&journal=78>
open EMBO Reports,<open:http://www.pubmedcentral.nih.gov/tocrender.fcgi?action=archive&journal=118>
open Emerging Infectious Diseases,<open:http://www.cdc.gov/ncidod/EID/index.htm>
open Empirical Software Engineering,<open:https://www.springer.com/journal/10664>
open Epigenetics and Chromatin,<open:http://www.epigeneticsandchromatin.com>
open European Journal of Medicinal Chemistry,<open:http://www.sciencedirect.com/science/journal/02235234>
open FEBS Letters,<open:http://www.sciencedirect.com/science/journal/00145793>
open Folding and Design,<open:http://www.sciencedirect.com/science/journal/13590278>
open Gene,<open:http://www.sciencedirect.com/science/journal/03781119>
open Genetic Analysis: Biomolecular Engineering,<open:http://www.sciencedirect.com/science/journal/10503862>
open Genomics,<open:http://www.sciencedirect.com/science/journal/08887543>
open International Journal of Molecular Sciences,<open:http://www.hsc.wvu.edu/sop/compchem/mdpi/ijms/>
open International Journal of Uncertainty Quantification,<open:https://www.begellhouse.com/journals/uncertainty-quantification.html>
open Journal of Biochemical and Biophysical Methods,<open:http://www.sciencedirect.com/science/journal/0165022X>
open Journal of Biochemistry,<open:http://jb.bcasj.or.jp/>
open Journal of Biological Chemistry,<open:http://www.jbc.org/contents-by-date.0.shtml>
open Journal of Biological Inorganic Chemistry,<open:http://www.springerlink.com/content/100422>
open Journal of Biomolecular Structure and Dynamics ,<open:http://www.tandfonline.com/toc/tbsd20/current>
open Journal of Biomolecular NMR,<open:http://springerlink.com/content/102922/>
open Journal of Cellular Biochemistry,<open:http://www3.interscience.wiley.com/journal/117933916/tocgroup>
open Journal of Chemical Education,<open:http://pubs.acs.org.ezproxy.lib.ou.edu/journal/jceda8>
open Journal of Chemical Informatoin and Modeling,<open:https://pubs.acs.org/journal/jcisd8>
open Journal of Chemical Physics,<open:http://web.ebscohost.com.ezproxy.lib.ou.edu/ehost/detail?sid=0b21d86d-faa1-4d7c-800c-f202c0a80f5f%40sessionmgr14&vid=1&hid=19&bdata=JnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d#db=aph&jid=33J>
open Journal of Chemical Theory and Computation,<open:http://pubs.acs.org.ezproxy.lib.ou.edu/journal/jctcce>
open Journal of Chromatography A,<open:http://www.sciencedirect.com/science/journal/00219673>
open Journal of Chromatography B,<open:http://www.sciencedirect.com/science/journal/15700232>
open Journal of Chemical Physics,<open:http://ehis.ebscohost.com.ezproxy.lib.ou.edu/eds/results?vid=6&hid=22&sid=80e0f4f9-dcd6-4019-ac8a-c1d488304d1a%40sessionmgr4&bquery=(JN+%22Journal+of+Chemical+Physics%22+AND+DT+20061121)&bdata=JnR5cGU9MCZzaXRlPWVkcy1saXZl>
open Journal of Chemical Theory and Computation,<open:http://pubs.acs.org/journal/jctcce>
open Journal of Chemical Science,<open:http://www.springerlink.com/content/0974-3626/>
open Journal of Computational Chemistry,<open:http://www3.interscience.wiley.com/journal/33822/home>
open Journal of Computer-Aided Molecular Design,<open:http://www.wkap.nl/journalhome.htm/0920-654X>
open Journal of Global Infectious Diseases,<open:http://www.ncbi.nlm.nih.gov/pmc/journals/1193/>
open Journal of Molecular Biology,<open:https://www-sciencedirect-com.webproxy2.ouhsc.edu/journal/journal-of-molecular-biology>
open Journal of Molecular Graphics and Modelling,<open:https://www.sciencedirect.com/journal/journal-of-molecular-graphics-and-modelling>
open Journal of Molecular Modeling,<open:http://springerlink.com/content/100529/>
open Journal of Molecular Recognition,<open:http://www3.interscience.wiley.com/journal/13149/home>
open Journal of Nucleic Acids,<open:http://www.sage-hindawi.com/journals/jna/>
open Journal of Nucleic Acids Investigation,<open:http://www.pagepress.org/journals/index.php/jnai>
open Journal of Open Source Software,<open:https://openresearchsoftware.metajnl.com>
open Journal of Parallel and Distributed Computing,<open:https://www.sciencedirect.com/journal/journal-of-parallel-and-distributed-computing>
open Journal of Physical Chemistry Section A,<open:http://pubs.acs.org/journals/jpcafh/index.html>
Jopen ournal of Physical Chemsitry Section B,<open:http://pubs.acs.org/journal/jpcbfk/index.html>
open Journal of Simulation,<open:https://www.tandfonline.com/journals/tjsm20>
open JOSS,<open:https://openresearchsoftware.metajnl.com>
open Journal of Statistical Software,<open:http://www.jstatsoft.org>
open Journal of Structural Biology: X,<open:https://www.sciencedirect.com/journal/journal-of-structural-biology-x>
open JSBX,<open:https://www.sciencedirect.com/journal/journal-of-structural-biology-x>
open Journal of Structural Biology,<open:https://www.sciencedirect.com/journal/journal-of-structural-biology>
open JSB,<open:https://www.sciencedirect.com/journal/journal-of-structural-biology>
open Current Research in Structural Biology,<open:https://www.sciencedirect.com/journal/current-research-in-structural-biology>
open CRSB,<open:https://www.sciencedirect.com/journal/current-research-in-structural-biology>
open COSB,<open:https://www.sciencedirect.com/journal/current-opinion-in-structural-biology>
open Current Opinion in Structural Biology,<open:https://www.sciencedirect.com/journal/current-opinion-in-structural-biology>
open Journal of Structural and Functional Genomics      ,<open:http://www.springerlink.com/content/1345-711x/>
open Journal of the America Chemical Society            ,<open:http://pubs.acs.org/journals/jacsat/index.html>
open JACS                                               ,<open:http://pubs.acs.org/journals/jacsat/index.htm>
open Journal of Thermal Analysis and Calorimetry        ,<open:https://link.springer.com/journal/10973>
open JTAC                                               ,<open:https://link.springer.com/journal/1097>
open Journal of the Royal Society of Statistics Series B,<open:https://academic.oup.com/jrsssb>
open jrsssb                                             ,<open:https://academic.oup.com/jrsssb>
open series B statistical methodology                   ,<open:open:https://academic.oup.com/jrsssb>
open Journal of Theoretical Biology                     ,<open:https://www.sciencedirect.com/journal/journal-of-theoretical-biology>
open Journal of Virology                                ,<open:https://journals.asm.org/journal/jvi>
open Kinetoplastid Biology and Disease,<open:https://kinetoplastids.biomedcentral.com/>
open parasites and vectors,<open:https://parasitesandvectors.biomedcentral.com/>
open Linux Journal,<open:https://www.linuxjournal.com/>
open Journal of Medicinal Chemistry,<open:http://pubs.acs.org/journal/jmcmar>
open Methods,<open:https://www.sciencedirect.com/journal/methods>
open Methods in Enzymology,<open:https://www.sciencedirect.com/bookseries/methods-in-enzymology>
expand SMF,symmetry minimum function
expand ASU,asymmtric unit
expand PST,Patterson superposition techniques
expand VST,vector superposition techniques
expand MWCO,molecular weight cutoff
expand EDM,electron density modification
expand EDM,electron density modification
expand FT,Fourier transform
citekey Wilson 1942,\cite{Wilson1942DeterminationAbsoluteFromRelativeXRayIntensityData}
citekey Wilson plot,\cite{Wilson1942DeterminationAbsoluteFromRelativeXRayIntensityData}
citekey Wilson 1942 Wilson plot,\cite{Wilson1942DeterminationAbsoluteFromRelativeXRayIntensityData}
citekey Wilson 1942 Determination of abolute from relative,\cite{Wilson1942DeterminationAbsoluteFromRelativeXRayIntensityData}
citekey intertrpretation of normalized structure factors,\cite{Morris2004OnTheInterpretationAndUseEsquaredProfiles}
citekey Morris et al. 2004,\cite{Morris2004OnTheInterpretationAndUseEsquaredProfiles}
